Almond Kulfi
Aloo Gobi Masala
Aloo Naan
Alu Gobi
Alu Matar
Balti Gosht
Banjara Bhindi
Barfi
Butter Chicken
Carrot Halwa
Chaat Papri
Chai
Cham-Cham
Chana Dal
Chana Masala
Chapati
Chicken 65
Chicken Afghani
Chicken Biriyani
Chicken Chili Masala
Chicken Curry
Chicken Do Pyaza
Chicken Hariyali 
Chicken Jalfrezi
Chicken Korma
Chicken Lollypops
Chicken Madras
Chicken Madras
Chicken Malai Kabab
Chicken Saag
Chicken Soup
Chicken Tikka
Chicken Tikka Masala
Chicken Vindaloo
Chili Chicken
Chili Pakora
Chili Paneer 
Chilli Chicken
Coconut Rice
Coconut Soup
Combination Platter
Coriander Chutney
Cucumber Raita 
Dal Makhani
Dal Tadka
Date Tamarind Chutney
Dhokla
Egg Biryani
Fish Shaahi Masala
Garden Fresh Green Salad
Garlic Chilly Naan
Garlic Naan
Goat Biryani 
Gobi Manchurian
Gobi Naan 
Gulab Jamun
Hara Bara Vegetable Kabab
Idili
Jalebi
Jeera Rice 
Kadai Chicken
Kadai Matar Paneer
Kashmiri Dum Aloo
Keema Naan or Chicken Naan 
Keema Samosa
Kheema
Kheer
Kulfi
Lacha Paratha
Ladoo
Lamb Biryani 
Lamb Boti Kabab
Lamb Kebabs
Lamb Vindaloo
Lemon Rice 
Lime Pickle
Lobster Korma
Lobster Shaahi Masala
Madras Coffee 
Malai Kofta
Malai Jhinga
Mango Chutney
Mango Kulfi
Mango Lassi
Mango Pudding
Masala Chai
Masala Dosa
Masoor Dal
Medu Vada
Mix Pickles 
Mixed Vegetable Pakora
Naan
Navratan Korma
Navratan Shaahi Korma
Neelgiri Korma
Onion Bhajji
Onion Kulcha 
Onion Pakora
Paneer Channa Samosa
Paneer Corn Chili Manchurian
Paneer Kurchan
Paneer Naan
Paneer Pakora
Papadum
Pasanda/Korma
Peshawari Naan
Plain Lassi
Plain Paratha
Plain yogurt 
Pudina Naan
Pulao
Punjabi Channa Masala
Raita
Rajma
Ras Malai
Rogan Josh
Rose Lassi
Saag
Saag Paneer
Salted Lassi
Sambar
Samosa
Samosa Chaat
Shaahi Paneer Masala
Sheekh Kabab
Shrimp Bhuna
Shrimp Biryani
Shrimp Jalfrezi
Shrimp Kabab Masala
Shrimp Pappas
Shrimp Vindaloo
Shrimps Phaal
Strawberry Kulfi
Sweet Lassi
Tandoori Chicken
Tandoori Fish Tikka
Tandoori Jumbo Shrimp
Tandoori Lobster
Tandoori Mix Grill
Tandoori Roti 
Tomato Soup
TuttiFrutti 
Uthapam
Vegetable Biryani
Vegetable Jalfrezi 
Vegetable Pulao 
Vegetable Samosa
